workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,error
908,pilot,,,,,Patricia,,"[0, 'patricia']",1,bot_check,,
908,pilot,stims/audio_stims/F2_Script2_1.wav,mismatch,stims/face_stims/wmfaces/wFace3.png,Hunter,,male_white,0.11,,,0,
908,pilot,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/bmfaces/bFace3.png,Hakeem,,male_black,0.87,,,1,
908,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Anne,,female_white,0.09,,,2,
908,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/bmfaces/bFace5.png,Tremayne,,male_black,0.87,,,3,
908,pilot,stims/audio_stims/M2_Script2_2.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Hannah,,female_white,0.14,,,4,
908,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace6.png,Keisha,,female_black,0.95,,,5,
908,pilot,stims/audio_stims/M2_Script1_1.wav,match,stims/face_stims/wmfaces/wFace4.png,Cody,,male_white,0.83,,,6,
908,pilot,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/bffaces/bfFace1.png,Aisha,,female_black,0.68,,,7,
908,pilot,stims/audio_stims/F1_Script2_2.wav,match,stims/face_stims/wffaces/fFace2.png,Samantha,,female_white,0.87,,,8,
908,pilot,stims/audio_stims/M1_Script1_2.wav,match,stims/face_stims/wmfaces/wFace12.png,Ethan,,male_white,0.95,,,9,
908,pilot,stims/audio_stims/F2_Script2_2.wav,mismatch,stims/face_stims/bmfaces/bFace6.png,Marcellus,,male_black,0.14,,,10,
908,pilot,stims/audio_stims/M2_Script1_2.wav,mismatch,stims/face_stims/bffaces/bfFace2.png,Jasmine,,female_black,0.09,,,11,
908,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/wmfaces/wFace7.png,Ian,,male_white,0.09,,,12,
908,pilot,stims/audio_stims/M1_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Tamika,,female_black,0.08,,,13,
908,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Jamal,,male_black,0.01,,,14,
908,pilot,stims/audio_stims/F1_Script1_1.wav,match,stims/face_stims/wffaces/fFace1.png,Sarah,,female_white,0.89,,,15,
