workerid,proliferate.condition,Browser,OS,screenH,screenW,error
945,norming,Safari,iPhone/iPod,896,414,
963,norming,Firefox,Linux,1080,1920,
926,norming,Chrome,Linux,768,1366,
964,norming,Chrome,Windows,720,1280,
918,norming,Firefox,Mac,1080,1920,
952,norming,Chrome,Windows,912,1368,
955,norming,Chrome,Mac,900,1440,
946,norming,Chrome,Mac,900,1440,
949,norming,Chrome,Windows,768,1366,
954,norming,Firefox,Mac,900,1440,
965,norming,Chrome,Windows,1080,1920,
939,norming,Chrome,Windows,768,1366,
943,norming,Chrome,Windows,1080,1920,
927,norming,Chrome,Mac,1440,2560,
944,norming,Chrome,Mac,900,1440,
917,norming,Firefox,Windows,1080,1920,
958,norming,Chrome,Windows,1080,1920,
961,norming,Chrome,Windows,768,1366,
921,norming,Safari,Mac,1120,1792,
962,norming,Chrome,Windows,768,1366,
922,norming,Chrome,Mac,900,1440,
937,norming,Chrome,Windows,1080,1620,
932,norming,Chrome,Windows,768,1366,
930,norming,Chrome,Mac,900,1440,
928,norming,Chrome,Windows,1080,1920,
934,norming,Chrome,Mac,900,1440,
916,norming,Chrome,Windows,864,1536,
940,norming,Chrome,Mac,982,1512,
925,norming,Chrome,Windows,768,1366,
920,norming,Safari,Mac,800,1280,
924,norming,Chrome,Windows,864,1536,
966,norming,Chrome,Windows,720,1280,
953,norming,Chrome,Windows,720,1280,
950,norming,Chrome,Windows,864,1536,
956,norming,Chrome,Windows,1080,1920,
941,norming,Chrome,Mac,900,1440,
935,norming,Chrome,Mac,900,1440,
923,norming,Chrome,Windows,1080,1920,
959,norming,Chrome,Windows,1080,1920,
960,norming,Chrome,Windows,864,1536,
942,norming,Firefox,Windows,1080,1920,
948,norming,Chrome,Windows,768,1366,
919,norming,Firefox,Windows,1200,1920,
938,norming,Chrome,Windows,720,1280,
929,norming,Firefox,Windows,1440,2560,
947,norming,Chrome,Windows,1305,2319,
933,norming,Chrome,Mac,800,1280,
957,norming,Chrome,Windows,864,1536,
967,norming,Chrome,Windows,800,1280,
951,norming,Chrome,Windows,720,1280,
